feature,importance
release_quarter,0.0
holiday_season,0.0
cinematographer_score,0.5233037687597157
mpaa_rating,0.5262248735510416
release_week_of_the_year,1.259711045598832
genre_cluster,1.9612198806940226
distributor_score,3.8195751952285883
release_month,5.155163416487936
release_day_of_the_year,8.82926883787703
bom_budget,10.193774210937422
genre_cluster * producer_score,12.627002853093538
composer_score,14.04161316490792
genre_cluster * writer_score,22.756198846343473
producer_score,26.97633440371931
genre_cluster * actor_score,39.75160751670334
actor_score,44.92790648948363
genre_cluster * director_score,49.89652440371557
writer_score,92.464211782672
director_score,100.0
